type,line,from_station,to_station,minutes
edge,文湖線,南港展覽館,南港軟體園區,1
edge,文湖線,南港軟體園區,東湖,1
edge,文湖線,東湖,葫洲,1
edge,文湖線,葫洲,大湖公園,1
edge,文湖線,大湖公園,內湖,1
edge,文湖線,內湖,文德,1
edge,文湖線,文德,港墘,1
edge,文湖線,港墘,西湖,1
edge,文湖線,西湖,劍南路,1
edge,文湖線,劍南路,大直,1
edge,文湖線,大直,松山機場,1
edge,文湖線,松山機場,中山國中,1
edge,文湖線,中山國中,南京復興,1
edge,文湖線,南京復興,忠孝復興,1
edge,文湖線,忠孝復興,大安,1
edge,文湖線,大安,科技大樓,1
edge,文湖線,科技大樓,六張犁,1
edge,文湖線,六張犁,麟光,1
edge,文湖線,麟光,辛亥,1
edge,文湖線,辛亥,萬芳醫院,1
edge,文湖線,萬芳醫院,萬芳社區,1
edge,文湖線,萬芳社區,木柵,1
edge,文湖線,木柵,動物園,1
edge,淡水信義線,淡水,紅樹林,1
edge,淡水信義線,紅樹林,竹圍,1
edge,淡水信義線,竹圍,關渡,1
edge,淡水信義線,關渡,忠義,1
edge,淡水信義線,忠義,復興崗,1
edge,淡水信義線,復興崗,北投,1
edge,淡水信義線,北投,奇岩,1
edge,淡水信義線,奇岩,唭哩岸,1
edge,淡水信義線,唭哩岸,石牌,1
edge,淡水信義線,石牌,明德,1
edge,淡水信義線,明德,芝山,1
edge,淡水信義線,芝山,士林,1
edge,淡水信義線,士林,劍潭,1
edge,淡水信義線,劍潭,圓山,1
edge,淡水信義線,圓山,民權西路,1
edge,淡水信義線,民權西路,雙連,1
edge,淡水信義線,雙連,中山,1
edge,淡水信義線,中山,台北車站,1
edge,淡水信義線,台北車站,台大醫院,1
edge,淡水信義線,台大醫院,中正紀念堂,1
edge,淡水信義線,中正紀念堂,東門,1
edge,淡水信義線,東門,大安森林公園,1
edge,淡水信義線,大安森林公園,大安,1
edge,淡水信義線,大安,信義安和,1
edge,淡水信義線,信義安和,台北101／世貿,1
edge,淡水信義線,台北101／世貿,象山,1
edge,新北投線,新北投,北投,1
edge,松山新店線,松山,南京三民,1
edge,松山新店線,南京三民,台北小巨蛋,1
